,id,title,release_date,overview,popularity,vote_average,vote_count
92,31411,The Cameraman,1928-09-10,A photographer takes up newsreel shooting to impress a secretary.,8.186,8.0,261
93,70,Million Dollar Baby,2004-12-15,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",27.988,8.0,7877
94,615453,Ne Zha,2019-07-26,"The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.",27.83,8.0,257
95,316029,The Greatest Showman,2017-12-20,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",43.101,7.9,8057
96,76203,12 Years a Slave,2013-10-18,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",51.792,7.9,9618
97,76,Before Sunrise,1995-01-27,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",21.59,7.9,3128
98,20722,La Maison en Petits Cubes,2008-06-10,La Maison en Petits Cubes tells the story of a grandfather's memories as he adds more blocks to his house to stem the flooding waters.,14.061,7.9,360
99,21334,Children of Heaven,1997-08-01,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes, Ali's. School awaits.",39.226,7.9,443
100,946,Letter from an Unknown Woman,1948-04-28,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",8.69,7.9,220
101,548544,Invisible Life,2019-08-30,"Rio de Janeiro, Brazil, 1950. In the conservative home of the Gusmão family, Eurídice and Guida are two inseparable sisters who support each other. While Guida can share with her younger sister the details of her romantic adventures, Eurídice finds in her older sister the encouragement she needs to pursue her dream of becoming a professional pianist.",8.467,7.9,233
102,33,Unforgiven,1992-08-07,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",34.289,7.9,3363
103,78,Blade Runner,1982-06-25,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",45.673,7.9,11344
104,334533,Captain Fantastic,2016-07-08,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,34.093,7.9,5366
105,829,Chinatown,1974-06-20,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",33.578,7.9,2918
106,10728,Faust,1926-10-13,"God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",7.42,7.9,250
107,671,Harry Potter and the Philosopher's Stone,2001-11-16,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",391.388,7.9,22419
108,1892,Return of the Jedi,1983-05-25,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",31.119,7.9,12630
109,329,Jurassic Park,1993-06-11,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",51.404,7.9,13359
